TABLE 5: Variance Decomposition - Drechsel & Tenreyro (2018)

Panel (a): 1900-2015 (parameters at posterior mean)
Variable,Stat. technology,Nonstat. technology,Interest rate,Commodity price,Spending,Preference,Sum
Output growth,51.17,20.50,1.12,21.69,0.19,5.33,100.00
Consumption growth,35.34,10.84,3.24,24.03,1.51,25.04,100.00
Investment growth,11.68,2.14,23.86,34.09,1.90,26.32,100.00
Trade balance,1.19,2.53,64.79,16.27,2.07,13.14,100.00

Paper values (Panel a)
Variable,Stat. technology,Nonstat. technology,Interest rate,Commodity price,Spending,Preference
Output growth,51.15,20.55,1.12,21.67,0.19,5.33
Consumption growth,35.32,10.87,3.24,24.02,1.51,25.05
Investment growth,11.68,2.15,23.80,34.11,1.90,26.35
Trade balance,1.19,2.53,64.71,16.33,2.08,13.16

Panel (b): 1950-2015 (parameters at posterior mean)
Variable,Stat. technology,Nonstat. technology,Interest rate,Commodity price,Spending,Preference,Sum
Output growth,39.13,20.59,0.68,38.00,0.08,1.51,100.00
Consumption growth,28.44,11.74,1.99,42.36,1.14,14.34,100.00
Investment growth,9.49,2.57,15.25,61.30,0.49,10.89,100.00
Trade balance,1.30,3.06,52.42,31.93,0.42,10.89,100.00

Paper values (Panel b)
Variable,Stat. technology,Nonstat. technology,Interest rate,Commodity price,Spending,Preference
Output growth,39.14,20.57,0.69,37.97,0.08,1.54
Consumption growth,28.47,11.72,2.01,42.28,1.14,14.39
Investment growth,9.48,2.57,15.35,61.11,0.50,10.99
Trade balance,1.28,3.03,52.83,31.56,0.42,10.87
