Parameter,Prior_Mean,Posterior_Mean,HPD_90_Low,HPD_90_High
xi,0.1990,0.2217,0.1544,0.2860
psi,2.8000,3.1942,2.4911,3.8924
rho_a,0.5000,0.8293,0.7507,0.9092
rho_atil,0.5000,0.5869,0.2802,0.8955
rho_g,0.5000,0.5245,0.3169,0.7300
rho_nu,0.5000,0.8691,0.8388,0.8997
rho_s,0.5000,0.6438,0.5051,0.7822
rho_mu,0.5000,0.9199,0.8718,0.9681
rho1_ptil,0.8000,0.8061,0.6811,0.9374
-rho2_ptil,0.1500,0.1293,0.0101,0.2323
sigma_a,0.1000,0.0296,0.0231,0.0361
sigma_atil,0.1000,0.0522,0.0242,0.0799
sigma_g,0.1000,0.0260,0.0193,0.0326
sigma_nu,0.1000,0.4591,0.4158,0.5000
sigma_s,0.1000,0.1874,0.1655,0.2087
sigma_mu,0.1000,0.0545,0.0408,0.0679
sigma_ptil,0.1000,0.1770,0.0890,0.2659
